date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:41:55	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22683f6c53-239b%22	https://ttkayo.github.io/robots.txt		(from )
20:41:55	4050/4050	---M-Z	200	added ('OK')	text/html	etag:W/%2266afbf4c-fd2%22	https://ttkayo.github.io/Anolet/	C:/My%20Web%20Sites/Anolet/ttkayo.github.io/Anolet/index.html	(from )
20:41:55	29349/29349	---M-Z	200	added ('OK')	text/css	etag:W/%2266afbf4c-72a5%22	https://ttkayo.github.io/Anolet/style.css	C:/My%20Web%20Sites/Anolet/ttkayo.github.io/Anolet/style.css	(from https://ttkayo.github.io/Anolet/)
20:41:55	25424/25424	---M-Z	200	added ('OK')	image/png	etag:%2233f8564c2498135ee1bf724f8885279a%22	https://ac.blooket.com/dashboard/assets/BlookCheckers-BykpA7vd.png	C:/My%20Web%20Sites/Anolet/ac.blooket.com/dashboard/assets/BlookCheckers-BykpA7vd.png	(from https://ttkayo.github.io/Anolet/)
20:41:55	14534/14534	---M-Z	200	added ('OK')	text/html	etag:W/%2266afbf4c-38c6%22	https://ttkayo.github.io/Anolet/login.html	C:/My%20Web%20Sites/Anolet/ttkayo.github.io/Anolet/login.html	(from https://ttkayo.github.io/Anolet/)
20:41:56	14479/14479	---M-Z	200	added ('OK')	text/html	etag:W/%2266afbf4c-388f%22	https://ttkayo.github.io/Anolet/sign%20up.html	C:/My%20Web%20Sites/Anolet/ttkayo.github.io/Anolet/sign%20up.html	(from https://ttkayo.github.io/Anolet/)
20:41:56	4013/4013	---M-Z	200	added ('OK')	text/html	etag:W/%2266afbf4c-fad%22	https://ttkayo.github.io/Anolet/Terms.html	C:/My%20Web%20Sites/Anolet/ttkayo.github.io/Anolet/Terms.html	(from https://ttkayo.github.io/Anolet/)
20:41:56	22121/22121	---M--	200	added ('OK')	text/javascript	date:Thu,%2019%20Aug%202021%2020:25:44%20GMT	https://www.gstatic.com/firebasejs/8.10.0/firebase-app.js	C:/My%20Web%20Sites/Anolet/www.gstatic.com/firebasejs/8.10.0/firebase-app.js	(from https://ttkayo.github.io/Anolet/login.html)
20:41:57	177250/177250	---M--	200	added ('OK')	text/javascript	date:Thu,%2019%20Aug%202021%2020:25:38%20GMT	https://www.gstatic.com/firebasejs/8.10.0/firebase-auth.js	C:/My%20Web%20Sites/Anolet/www.gstatic.com/firebasejs/8.10.0/firebase-auth.js	(from https://ttkayo.github.io/Anolet/login.html)
20:41:57	336918/336918	---M--	200	added ('OK')	text/javascript	date:Thu,%2019%20Aug%202021%2020:25:44%20GMT	https://www.gstatic.com/firebasejs/8.10.0/firebase-firestore.js	C:/My%20Web%20Sites/Anolet/www.gstatic.com/firebasejs/8.10.0/firebase-firestore.js	(from https://ttkayo.github.io/Anolet/login.html)
